Role,word,frequency,compound
reviewer,insights,3233,0.5859
reviewer,novel,12848,0.29600000000000004
reviewer,insight,2603,0.5859
reviewer,significance,5437,0.5859
reviewer,suggest,17292,0.29600000000000004
reviewer,reconcile,501,0.3818
reviewer,restored,312,0.5267
reviewer,help,7867,0.5267
reviewer,concern,6315,-0.29600000000000004
reviewer,suggestion,3498,0.29600000000000004
reviewer,careful,2570,0.3818
reviewer,understanding,7813,0.5267
reviewer,create,1264,0.5859
reviewer,improved,9937,0.5267
reviewer,liked,387,0.3818
reviewer,justify,2001,0.29600000000000004
reviewer,exciting,1603,0.6369
reviewer,versatility,86,0.5859
reviewer,finally,4981,0.3818
reviewer,concise,662,0.5859
reviewer,inspire,136,0.5859
reviewer,hard,5456,-0.29600000000000004
reviewer,judge,887,-0.2023
reviewer,efficiency,4220,0.3818
reviewer,overwhelming,106,0.5859
reviewer,criticism,1025,-0.5267
reviewer,helpful,7522,0.5859
reviewer,achieved,2357,0.5267
reviewer,good,11647,0.5267
reviewer,positive,7447,0.5859
reviewer,therapeutic,1622,0.5267
reviewer,drive,1683,0.29600000000000004
reviewer,exploited,247,-0.6369
reviewer,guide,843,0.29600000000000004
reviewer,nice,5380,0.5267
reviewer,sensitivity,4553,0.3818
reviewer,effective,3025,0.5859
reviewer,important,32492,0.5859
reviewer,manipulate,262,-0.5859
reviewer,improve,5796,0.5267
reviewer,better,18619,0.3818
reviewer,mean,12615,-0.5267
reviewer,donor,1138,0.29600000000000004
reviewer,benefit,3403,0.5267
reviewer,hunt,117,-0.3818
reviewer,legend,6586,0.5859
reviewer,great,4864,0.6369
reviewer,pleased,424,0.5859
reviewer,supports,1550,0.3818
reviewer,confidence,2292,0.5859
reviewer,happy,1787,0.6369
reviewer,potential,14475,0.3818
reviewer,concerns,17460,-0.3818
reviewer,troubling,82,-0.5859
reviewer,contamination,758,-0.6369
reviewer,allay,25,0.3818
reviewer,notable,456,0.5267
reviewer,reveal,1865,0.2023
reviewer,validation,4298,0.3818
reviewer,risk,3528,-0.3818
reviewer,interesting,23877,0.5267
reviewer,certain,3545,0.3818
reviewer,optimal,1817,0.5859
reviewer,open,3831,0.3818
reviewer,cool,277,0.3818
reviewer,noisy,463,-0.5267
reviewer,composed,642,0.3818
reviewer,slow,2081,-0.3818
reviewer,achieve,1867,0.5859
reviewer,significant,15292,0.5859
reviewer,promising,997,0.5859
reviewer,harmonic,590,0.29600000000000004
reviewer,driven,3657,0.5267
reviewer,free,5138,0.5859
reviewer,unnecessary,642,-0.5267
reviewer,clear,26094,0.3818
reviewer,propose,2656,0.29600000000000004
reviewer,opposed,1127,-0.5859
reviewer,suppress,604,-0.5859
reviewer,suppression,1374,-0.5267
reviewer,interest,8875,0.3818
reviewer,improvements,1503,0.5267
reviewer,demonstrating,1726,0.3818
reviewer,fidelity,465,0.3818
reviewer,moved,1375,0.3818
reviewer,performance,6786,0.2023
reviewer,benefits,1053,0.5267
reviewer,impact,10203,0.2023
reviewer,inclusion,1818,0.5267
reviewer,readability,817,0.3818
reviewer,merits,476,0.5267
reviewer,thank,7377,0.5859
reviewer,successfully,1150,0.5859
reviewer,highlight,2476,0.29600000000000004
reviewer,fine,2183,0.2023
reviewer,disordered,631,-0.5859
reviewer,growth,7409,0.5859
reviewer,impacts,2057,0.2023
reviewer,strength,3427,0.5267
reviewer,disorder,1020,-0.5859
reviewer,lies,572,-0.6369
reviewer,lead,5412,0.29600000000000004
reviewer,deserves,945,0.3818
reviewer,bias,3766,-0.5267
reviewer,power,5307,0.29600000000000004
reviewer,tolerance,869,0.3818
reviewer,lie,309,-0.6369
reviewer,worthwhile,449,0.5859
reviewer,participation,180,0.3818
reviewer,termination,497,-0.5859
reviewer,claim,10928,-0.2023
reviewer,destruction,127,-0.6369
reviewer,sensitive,2930,0.2023
reviewer,relying,330,-0.29600000000000004
reviewer,surprising,3156,0.5267
reviewer,argument,3621,-0.29600000000000004
reviewer,wishful,16,-0.29600000000000004
reviewer,radical,706,-0.29600000000000004
reviewer,mild,551,0.2023
reviewer,supporting,3481,0.5267
reviewer,thanks,1800,0.5859
reviewer,focused,2253,0.5267
reviewer,accept,1044,0.3818
